FATE,AD (m),FID (m),SIZE (1=reg; 2=ext),SPEED (km/h),HQAtime (s),TTCalert (s),TTCflight (s)
1,53.3833,30.2,1,60,1.391,3.203,1.812
1,51.3,19.0167,1,60,1.937,3.078,1.141
1,67.9667,50,1,60,1.078,4.078,3
0,10.15,10.15,1,60,0,0.609,0.609
1,35.4167,35.4167,1,60,0,2.125,2.125
1,46.8667,26.8167,1,60,1.203,2.812,1.609
1,50.25,41.4,1,60,0.531,3.015,2.484
1,58.85,28.9,1,60,1.797,3.531,1.734
1,24.4833,24.4833,1,60,0,1.469,1.469
1,40.1,16.6667,1,60,1.406,2.406,1
1,61.2,47.9167,2,60,0.797,3.672,2.875
1,88.2833,47.1333,2,60,2.469,5.297,2.828
1,34.3833,28.9167,2,60,0.328,2.063,1.735
1,54.4167,16.6667,2,60,2.265,3.265,1
1,74.4833,40.1,2,60,2.063,4.469,2.406
1,50.2667,33.6,2,60,1,3.016,2.016
1,60.1667,42.45,2,60,1.063,3.61,2.547
1,30.2,27.85,2,60,0.141,1.812,1.671
1,34.6333,32.2833,2,60,0.141,2.078,1.937
1,38.0167,34.6333,2,60,0.203,2.281,2.078
0,25,14.85,1,90,0.406,1,0.594
1,46.875,28.525,1,90,0.734,1.875,1.141
1,38.275,38.275,1,90,0,1.531,1.531
0,41.775,16.775,1,90,1,1.671,0.671
1,65.225,28.5,1,90,1.469,2.609,1.14
0,37.125,15.25,1,90,0.875,1.485,0.61
1,51.55,28.125,1,90,0.937,2.062,1.125
0,33.575,13.675,1,90,0.796,1.343,0.547
1,65.25,33.6,1,90,1.266,2.61,1.344
1,28.125,28.125,1,90,0,1.125,1.125
0,13.275,13.275,2,90,0,0.531,0.531
1,41.8,28.125,2,90,0.547,1.672,1.125
0,16.4,16.4,2,90,0,0.656,0.656
1,31.65,23.45,2,90,0.328,1.266,0.938
1,64.85,33.2,2,90,1.266,2.594,1.328
0,18.35,14.85,2,90,0.14,0.734,0.594
0,45.325,5.1,2,90,1.609,1.813,0.204
1,31.65,25,2,90,0.266,1.266,1
1,57.025,37.1,2,90,0.797,2.281,1.484
1,25.375,25.375,2,90,0,1.015,1.015
1,66.6667,35.4,1,120,0.938,2,1.062
0,24.4667,15.6,1,120,0.266,0.734,0.468
1,51.5667,40.1,1,120,0.344,1.547,1.203
0,22.4,22.4,1,120,0,0.672,0.672
0,26.5667,19.8,1,120,0.203,0.797,0.594
1,29.1667,29.1667,1,120,0,0.875,0.875
0,64.6,24.5,1,120,1.203,1.938,0.735
0,27.1,18.2333,1,120,0.266,0.813,0.547
1,55.7333,35.4333,1,120,0.609,1.672,1.063
1,73.4667,46.3667,1,120,0.813,2.204,1.391
0,13.5333,11.4667,2,120,0.062,0.406,0.344
0,33.3333,24.4667,2,120,0.266,1,0.734
0,55.7333,20.3333,2,120,1.062,1.672,0.61
1,64.6,35.9333,2,120,0.86,1.938,1.078
1,70.8333,57.8,2,120,0.391,2.125,1.734
1,53.6333,35.9333,2,120,0.531,1.609,1.078
1,75.5333,27.1,2,120,1.453,2.266,0.813
1,33.8667,33.8667,2,120,0,1.016,1.016
1,40.1,40.1,2,120,0,1.203,1.203
0,40.1333,13.5667,2,120,0.797,1.204,0.407
0,33.2083,33.2083,1,150,0,0.797,0.797
0,55.3333,30.625,1,150,0.593,1.328,0.735
0,30.5833,28,1,150,0.062,0.734,0.672
0,55.3333,19.5417,1,150,0.859,1.328,0.469
0,67.0833,14.3333,1,150,1.266,1.61,0.344
0,52.7083,22.125,1,150,0.734,1.265,0.531
1,47.5,36.4583,1,150,0.265,1.14,0.875
0,28,28,1,150,0,0.672,0.672
0,53.375,14.3333,1,150,0.937,1.281,0.344
0,22.7917,20.1667,1,150,0.063,0.547,0.484
0,30.5833,11.7083,2,150,0.453,0.734,0.281
0,53.375,22.7917,2,150,0.734,1.281,0.547
0,22.125,22.125,2,150,0,0.531,0.531
0,58.5833,28,2,150,0.734,1.406,0.672
0,38.4167,22.125,2,150,0.391,0.922,0.531
0,28,28,2,150,0,0.672,0.672
0,30.5833,14.2917,2,150,0.391,0.734,0.343
1,47.5417,47.5417,2,150,0,1.141,1.141
1,56,41.6667,2,150,0.344,1.344,1
1,64.4583,42.3333,2,150,0.531,1.547,1.016
0,63.3,39.85,1,180,0.469,1.266,0.797
1,86.75,50,1,180,0.735,1.735,1
0,23.45,13.3,1,180,0.203,0.469,0.266
0,60.9,21.05,1,180,0.797,1.218,0.421
1,63.25,50,1,180,0.265,1.265,1
0,32.8,32.8,1,180,0,0.656,0.656
0,36.7,36.7,1,180,0,0.734,0.734
0,30.45,26.55,1,180,0.078,0.609,0.531
0,33.6,10.15,1,180,0.469,0.672,0.203
1,63.25,43.75,1,180,0.39,1.265,0.875
0,39.85,29.7,2,180,0.203,0.797,0.594
0,30.45,30.45,2,180,0,0.609,0.609
1,50,43,2,180,0.14,1,0.86
0,60.15,36.7,2,180,0.469,1.203,0.734
1,66.4,42.95,2,180,0.469,1.328,0.859
1,46.9,46.9,2,180,0,0.938,0.938
0,53.1,29.65,2,180,0.469,1.062,0.593
0,40.6,10.15,2,180,0.609,0.812,0.203
0,43.75,17.2,2,180,0.531,0.875,0.344
0,53.9,39.85,2,180,0.281,1.078,0.797
0,16.3917,16.3917,1,210,0,0.281,0.281
0,30.975,30.975,1,210,0,0.531,0.531
0,27.3583,7.2917,1,210,0.344,0.469,0.125
0,39.1417,39.1417,1,210,0,0.671,0.671
0,77.4667,22.75,1,210,0.938,1.328,0.39
0,27.3583,27.3583,1,210,0,0.469,0.469
0,30.975,27.3583,1,210,0.062,0.531,0.469
1,55.5917,55.5917,1,210,0,0.953,0.953
0,74.725,23.6833,1,210,0.875,1.281,0.406
1,58.3333,58.3333,1,210,0,1,1
0,35.525,23.6833,2,210,0.203,0.609,0.406
0,42.8167,39.2,2,210,0.062,0.734,0.672
0,31.9083,16.45,2,210,0.265,0.547,0.282
0,58.3333,23.6833,2,210,0.594,1,0.406
0,27.3,16.3917,2,210,0.187,0.468,0.281
0,38.2667,11.8417,2,210,0.453,0.656,0.203
0,31.85,31.85,2,210,0,0.546,0.546
1,58.3333,58.3333,2,210,0,1,1
1,61.95,61.95,2,210,0,1.062,1.062
0,27.3583,19.1333,2,210,0.141,0.469,0.328
0,48.9333,26.0667,1,240,0.343,0.734,0.391
1,58.3333,54.1333,1,240,0.063,0.875,0.812
0,44.7333,40.6,1,240,0.062,0.671,0.609
0,48.9333,40.6,1,240,0.125,0.734,0.609
0,58.3333,22.8667,1,240,0.532,0.875,0.343
0,48.9333,48.9333,1,240,0,0.734,0.734
1,58.3333,58.3333,1,240,0,0.875,0.875
0,13.5333,13.5333,1,240,0,0.203,0.203
0,22.8667,22.8667,1,240,0,0.343,0.343
0,54.1333,22.9333,1,240,0.468,0.812,0.344
0,32.8,20.3,1,360,0.125,0.328,0.203
0,100,53.1,1,360,0.469,1,0.531
0,20.3,20.3,1,360,0,0.203,0.203
0,20.3,20.3,1,360,0,0.203,0.203
0,26.5,26.5,1,360,0,0.265,0.265
0,46.9,26.6,1,360,0.203,0.469,0.266
0,32.8,26.6,1,360,0.062,0.328,0.266
0,34.4,34.4,1,360,0,0.344,0.344
1,81.3,81.3,1,360,0,0.813,0.813
0,26.6,26.6,1,360,0,0.266,0.266